OrderID,OrderDate,Product,Region,Quantity,UnitPrice,Discount,Revenue,Profit,Returned
O00035,2025-02-05,Laptop,West,3,1236.72,0.15,3153.64,676.07,No
O00036,2025-02-06,Support,West,1,88.07,0.05,83.67,13.27,No
O00037,2025-02-07,Software,South,7,759.32,0.15,4517.95,1311.96,No
O00038,2025-02-08,Phone,East,2,423.7,0.2,677.92,203.7,Yes
O00039,2025-02-09,Phone,South,1,1199.27,0.2,959.42,145.29,No
O00040,2025-02-10,Software,West,1,421.1,0.2,336.88,70.91,No
O00041,2025-02-11,Phone,South,4,1204.54,0.0,4818.16,1567.68,No
O00042,2025-02-12,Tablet,West,1,108.17,0.0,108.17,13.05,No
O00043,2025-02-13,Software,South,6,106.26,0.2,510.05,96.25,No
O00044,2025-02-14,Monitor,East,4,1212.95,0.05,4609.21,1141.52,No
O00045,2025-02-15,Support,North,3,444.55,0.0,1333.65,262.52,No
O00046,2025-02-16,Laptop,East,1,418.42,0.05,397.5,72.57,No
O00047,2025-02-17,Phone,North,4,67.39,0.2,215.65,48.7,No
O00048,2025-02-18,Support,North,2,207.93,0.05,395.07,63.9,No
O00049,2025-02-19,Monitor,South,7,1221.83,0.0,8552.81,2068.19,No
O00050,2025-02-20,Phone,South,3,223.05,0.15,568.78,160.7,No
O00051,2025-02-21,Phone,East,4,390.47,0.0,1561.88,394.09,No
O00052,2025-02-22,Tablet,South,1,222.3,0.05,211.18,29.86,No
O00053,2025-02-23,Monitor,North,1,217.55,0.0,217.55,68.36,No
O00054,2025-02-24,Phone,South,2,150.45,0.15,255.76,40.98,No
O00055,2025-02-25,Monitor,South,1,1184.0,0.1,1065.6,315.32,No
O00056,2025-02-26,Tablet,East,6,1188.85,0.2,5706.48,1158.02,Yes
O00057,2025-02-27,Monitor,East,7,92.88,0.05,617.65,185.32,No
O00058,2025-02-28,Laptop,North,7,189.2,0.05,1258.18,210.67,No
O00059,2025-03-01,Monitor,East,2,381.2,0.0,762.4,124.22,No
O00060,2025-03-02,Support,East,6,143.75,0.05,819.38,191.99,No
O00061,2025-03-03,Laptop,West,4,790.31,0.1,2845.12,362.97,No
O00062,2025-03-04,Phone,East,1,206.39,0.0,206.39,35.46,No
O00063,2025-03-05,Software,West,1,89.14,0.1,80.23,22.99,No
O00064,2025-03-06,Monitor,North,4,237.71,0.2,760.67,237.78,No
O00065,2025-03-07,Software,East,3,399.27,0.15,1018.14,141.09,No
O00066,2025-03-08,Monitor,North,1,124.82,0.15,106.1,34.26,No
O00067,2025-03-09,Software,North,7,1204.23,0.2,6743.69,2046.23,No
O00068,2025-03-10,Monitor,West,6,115.53,0.15,589.2,188.56,No
O00069,2025-03-11,Laptop,South,4,104.58,0.15,355.57,99.79,No
O00070,2025-03-12,Software,East,7,426.38,0.2,2387.73,656.76,No
O00071,2025-03-13,Tablet,East,7,400.12,0.0,2800.84,674.36,No
O00072,2025-03-14,Laptop,East,7,208.92,0.2,1169.95,316.05,No
O00073,2025-03-15,Tablet,North,2,206.33,0.05,392.03,129.92,No
O00074,2025-03-16,Tablet,North,7,93.23,0.15,554.72,79.39,No
O00075,2025-03-17,Laptop,North,4,807.1,0.2,2582.72,497.5,No
O00076,2025-03-18,Support,West,6,243.69,0.1,1315.93,179.84,No
O00077,2025-03-19,Phone,North,7,93.59,0.0,655.13,220.98,No
O00078,2025-03-20,Phone,East,2,207.39,0.05,394.04,87.64,No
O00079,2025-03-21,Tablet,South,4,1224.16,0.1,4406.98,1213.37,No
O00080,2025-03-22,Software,North,1,221.81,0.2,177.45,55.62,No
O00081,2025-03-23,Software,South,2,1199.23,0.2,1918.77,667.6,No
O00082,2025-03-24,Software,North,3,151.33,0.1,408.59,64.23,No
O00083,2025-03-25,Phone,North,6,109.33,0.2,524.78,159.47,Yes
O00084,2025-03-26,Support,North,7,154.61,0.1,974.04,315.69,No
O00085,2025-03-27,Software,West,3,228.4,0.1,616.68,80.93,No
O00086,2025-03-28,Tablet,East,3,102.39,0.2,245.74,72.11,No
O00087,2025-03-29,Monitor,West,4,418.99,0.15,1424.57,287.17,No
O00088,2025-03-30,Laptop,South,7,180.96,0.1,1140.05,306.88,No
O00089,2025-03-31,Software,North,7,767.95,0.1,4838.09,1152.58,Yes
O00090,2025-04-01,Support,East,2,404.22,0.15,687.17,123.51,No
O00091,2025-04-02,Tablet,West,2,398.33,0.15,677.16,102.32,No
O00092,2025-04-03,Monitor,East,5,389.17,0.1,1751.26,257.26,No
O00093,2025-04-04,Tablet,North,3,100.69,0.0,302.07,43.43,No
O00094,2025-04-05,Laptop,South,2,854.35,0.0,1708.7,455.7,No
O00095,2025-04-06,Monitor,West,1,115.69,0.0,115.69,23.23,No
O00096,2025-04-07,Software,East,3,819.99,0.1,2213.97,375.99,No
O00097,2025-04-08,Support,West,3,1215.88,0.15,3100.49,865.45,No
O00098,2025-04-09,Support,East,4,828.59,0.2,2651.49,737.05,No
O00099,2025-04-10,Tablet,North,2,395.2,0.05,750.88,183.22,No
O00100,2025-04-11,Support,West,6,157.9,0.15,805.29,269.8,No
O00101,2025-04-12,Monitor,West,5,1195.23,0.15,5079.73,1059.86,No
O00102,2025-04-13,Monitor,East,4,215.23,0.0,860.92,268.82,No
O00103,2025-04-14,Monitor,West,2,379.6,0.05,721.24,99.01,No
O00104,2025-04-15,Support,North,4,795.47,0.05,3022.79,877.1,No
O00105,2025-04-16,Software,West,5,1185.16,0.2,4740.64,1646.63,No
O00106,2025-04-17,Laptop,North,3,1229.04,0.2,2949.7,928.32,No
O00107,2025-04-18,Laptop,West,2,113.99,0.2,182.38,46.2,No
O00108,2025-04-19,Tablet,North,4,1212.03,0.1,4363.31,1152.6,No
O00109,2025-04-20,Monitor,East,3,111.43,0.1,300.86,60.55,No
O00110,2025-04-21,Software,West,3,398.26,0.05,1135.04,313.59,No
O00111,2025-04-22,Tablet,North,3,1202.95,0.15,3067.52,911.64,No
O00112,2025-04-23,Monitor,North,3,775.3,0.0,2325.9,813.12,No
O00113,2025-04-24,Support,West,6,1155.27,0.05,6585.04,1536.07,No
O00114,2025-04-25,Tablet,North,4,202.0,0.0,808.0,108.35,No
O00115,2025-04-26,Tablet,East,4,205.48,0.1,739.73,190.15,No
O00116,2025-04-27,Monitor,West,5,223.19,0.05,1060.15,156.24,No
O00117,2025-04-28,Tablet,East,3,230.43,0.0,691.29,121.87,No
O00118,2025-04-29,Support,South,1,830.4,0.05,788.88,154.32,No
O00119,2025-04-30,Support,South,6,379.04,0.2,1819.39,524.23,No
O00120,2025-05-01,Monitor,East,1,791.95,0.1,712.76,115.66,No
O00121,2025-05-02,Tablet,East,5,408.61,0.2,1634.44,258.44,No
O00122,2025-05-03,Monitor,East,2,249.64,0.2,399.42,52.06,Yes
O00123,2025-05-04,Phone,North,2,128.6,0.2,205.76,66.02,No
O00124,2025-05-05,Tablet,East,1,421.39,0.05,400.32,111.89,No
O00125,2025-05-06,Phone,East,7,1191.24,0.2,6670.94,861.8,No
O00126,2025-05-07,Laptop,East,4,1181.34,0.2,3780.29,478.23,No
O00127,2025-05-08,Laptop,North,3,214.78,0.2,515.47,128.09,No
O00128,2025-05-09,Monitor,East,6,376.99,0.05,2148.84,397.5,No
O00129,2025-05-10,Laptop,East,1,794.23,0.05,754.52,194.1,No
O00130,2025-05-11,Monitor,North,4,796.7,0.1,2868.12,630.87,No
O00131,2025-05-12,Tablet,West,4,130.86,0.2,418.75,139.18,No
O00132,2025-05-13,Tablet,East,4,391.91,0.2,1254.11,233.51,No
O00133,2025-05-14,Software,South,1,50.22,0.1,45.2,12.48,No
O00134,2025-05-15,Monitor,East,7,109.09,0.0,763.63,101.13,No
O00135,2025-05-16,Software,East,2,785.02,0.1,1413.04,480.22,No
O00136,2025-05-17,Software,East,5,99.85,0.15,424.36,146.65,No
O00137,2025-05-18,Laptop,South,6,197.27,0.1,1065.26,308.91,No
O00138,2025-05-19,Phone,West,3,393.53,0.05,1121.56,254.59,No
O00139,2025-05-20,Monitor,West,1,814.81,0.05,774.07,132.06,No
O00140,2025-05-21,Support,North,3,368.34,0.0,1105.02,339.11,No
O00141,2025-05-22,Laptop,East,6,88.66,0.05,505.36,146.23,No
O00142,2025-05-23,Laptop,North,7,812.68,0.15,4835.45,827.1,No
O00143,2025-05-24,Support,South,7,1186.72,0.05,7891.69,1766.0,No
O00144,2025-05-25,Support,West,2,1166.82,0.2,1866.91,422.75,No
O00145,2025-05-26,Phone,North,5,812.37,0.0,4061.85,1259.48,No
O00146,2025-05-27,Tablet,South,2,421.46,0.1,758.63,210.36,No
O00147,2025-05-28,Monitor,North,5,1198.1,0.1,5391.45,1444.52,Yes
O00148,2025-05-29,Phone,East,3,359.78,0.2,863.47,232.67,Yes
O00149,2025-05-30,Phone,South,5,113.12,0.2,452.48,82.45,No
O00150,2025-05-31,Tablet,East,5,1165.8,0.1,5246.1,1078.04,No
O00151,2025-06-01,Monitor,West,7,205.18,0.15,1220.82,159.32,No
O00152,2025-06-02,Phone,East,4,1181.25,0.15,4016.25,1208.88,No
O00153,2025-06-03,Tablet,East,3,175.8,0.1,474.66,104.23,No
O00154,2025-06-04,Phone,North,4,1190.16,0.0,4760.64,1051.12,No
O00155,2025-06-05,Software,North,2,395.33,0.1,711.59,125.55,No
O00156,2025-06-06,Laptop,West,1,386.12,0.05,366.81,61.69,No
O00157,2025-06-07,Phone,West,4,210.77,0.1,758.77,193.64,No
O00158,2025-06-08,Phone,East,6,1190.08,0.15,6069.41,1052.96,No
O00159,2025-06-09,Support,South,4,118.6,0.05,450.68,60.74,No
O00160,2025-06-10,Support,North,6,404.62,0.05,2306.33,683.89,No
O00161,2025-06-11,Monitor,West,2,185.05,0.2,296.08,61.17,No
O00162,2025-06-12,Laptop,West,4,381.68,0.05,1450.38,300.89,No
O00163,2025-06-13,Software,North,5,166.05,0.0,830.25,181.99,No
O00164,2025-06-14,Tablet,East,3,804.81,0.15,2052.27,630.99,No
O00165,2025-06-15,Support,East,1,191.91,0.15,163.12,31.61,No
O00166,2025-06-16,Tablet,South,1,51.56,0.2,41.25,12.14,No
O00167,2025-06-17,Support,West,7,88.29,0.15,525.33,176.56,No
O00168,2025-06-18,Software,North,5,780.98,0.2,3123.92,849.71,No
O00169,2025-06-19,Phone,South,2,230.51,0.1,414.92,90.99,No
O00170,2025-06-20,Software,North,2,164.94,0.05,313.39,91.51,No
O00171,2025-06-21,Phone,East,1,770.17,0.2,616.14,138.83,No
O00172,2025-06-22,Tablet,East,7,221.2,0.05,1470.98,316.73,No
O00173,2025-06-23,Phone,West,1,226.14,0.05,214.83,51.73,No
O00174,2025-06-24,Software,East,6,184.1,0.2,883.68,170.62,No
O00175,2025-06-25,Phone,North,2,186.36,0.2,298.18,42.93,No
O00176,2025-06-26,Monitor,South,3,811.32,0.05,2312.26,498.1,No
O00177,2025-06-27,Monitor,North,2,352.46,0.15,599.18,88.97,No
O00178,2025-06-28,Software,East,6,1161.78,0.2,5576.54,1195.62,No
O00179,2025-06-29,Support,East,1,793.39,0.15,674.38,167.31,No
O00180,2025-06-30,Laptop,West,3,130.0,0.0,390.0,130.28,No
O00181,2025-07-01,Support,South,2,190.29,0.15,323.49,41.51,No
O00182,2025-07-02,Laptop,South,2,201.02,0.0,402.04,105.71,No
O00183,2025-07-03,Monitor,North,2,421.68,0.2,674.69,151.99,No
O00184,2025-07-04,Tablet,South,7,241.14,0.0,1687.98,210.42,No
O00185,2025-07-05,Monitor,South,3,1187.46,0.2,2849.9,505.56,Yes
O00186,2025-07-06,Software,West,3,198.66,0.0,595.98,87.76,No
O00187,2025-07-07,Support,West,3,435.44,0.1,1175.69,199.71,No
O00188,2025-07-08,Tablet,North,7,68.56,0.05,455.92,83.5,No
O00189,2025-07-09,Support,South,3,1219.55,0.2,2926.92,621.39,Yes
O00190,2025-07-10,Phone,East,3,1178.63,0.05,3359.1,811.82,No
O00191,2025-07-11,Phone,South,3,801.05,0.15,2042.68,245.59,No
O00192,2025-07-12,Tablet,North,3,194.15,0.0,582.45,91.58,No
O00193,2025-07-13,Monitor,West,1,79.84,0.1,71.86,10.17,No
O00194,2025-07-14,Software,East,5,779.34,0.2,3117.36,768.2,No
O00195,2025-07-15,Software,East,1,404.53,0.2,323.62,63.33,Yes
O00196,2025-07-16,Phone,South,2,1218.91,0.05,2315.93,570.02,No
O00197,2025-07-17,Phone,West,2,796.41,0.05,1513.18,258.78,No
O00198,2025-07-18,Support,North,3,400.4,0.1,1081.08,135.75,No
O00199,2025-07-19,Tablet,South,6,1210.42,0.1,6536.27,2199.55,No
O00200,2025-07-20,Phone,West,5,1179.57,0.1,5308.06,769.2,No
O00201,2025-07-21,Support,West,7,413.79,0.0,2896.53,432.1,No
O00202,2025-07-22,Tablet,South,3,115.39,0.15,294.24,45.23,Yes
O00203,2025-07-23,Support,East,7,151.07,0.05,1004.62,347.29,No
O00204,2025-07-24,Support,North,1,391.48,0.05,371.91,97.46,No
O00205,2025-07-25,Support,North,4,389.84,0.2,1247.49,324.8,No
O00206,2025-07-26,Monitor,South,6,114.38,0.15,583.34,202.38,No
O00207,2025-07-27,Software,West,4,115.38,0.05,438.44,61.53,No
O00208,2025-07-28,Support,East,7,788.3,0.2,4414.48,1519.18,Yes
O00209,2025-07-29,Phone,South,3,790.94,0.05,2254.18,376.27,Yes
O00210,2025-07-30,Laptop,South,1,109.82,0.1,98.84,26.03,No
O00211,2025-07-31,Phone,North,6,382.45,0.05,2179.96,472.22,No
O00212,2025-08-01,Monitor,South,1,90.79,0.0,90.79,18.91,No
O00213,2025-08-02,Monitor,North,6,800.79,0.1,4324.27,1445.11,No
O00214,2025-08-03,Laptop,North,6,1218.92,0.1,6582.17,1015.78,No
O00215,2025-08-04,Monitor,East,6,1186.91,0.2,5697.17,1990.17,No
O00216,2025-08-05,Phone,North,4,362.15,0.05,1376.17,285.14,No
O00217,2025-08-06,Monitor,North,7,760.67,0.2,4259.75,1146.8,No
O00218,2025-08-07,Monitor,East,2,1173.81,0.15,1995.48,683.69,No
O00219,2025-08-08,Monitor,South,4,772.74,0.0,3090.96,411.86,No
O00220,2025-08-09,Tablet,South,1,395.91,0.15,336.52,111.81,Yes
O00221,2025-08-10,Tablet,North,6,775.22,0.1,4186.19,1049.05,No
O00222,2025-08-11,Software,North,5,384.94,0.05,1828.46,515.65,No
O00223,2025-08-12,Software,South,6,1183.52,0.1,6391.01,986.21,No
O00224,2025-08-13,Software,East,6,390.19,0.05,2224.08,539.74,No
O00225,2025-08-14,Tablet,South,3,1225.45,0.15,3124.9,859.06,No
O00226,2025-08-15,Tablet,East,1,112.24,0.1,101.02,22.72,No
O00227,2025-08-16,Phone,East,7,99.32,0.1,625.72,97.39,Yes
O00228,2025-08-17,Monitor,South,4,89.78,0.05,341.16,60.09,No
O00229,2025-08-18,Laptop,South,1,390.34,0.05,370.82,117.37,No
O00230,2025-08-19,Tablet,South,7,805.55,0.1,5074.96,649.23,Yes
O00231,2025-08-20,Phone,North,7,210.68,0.1,1327.28,375.67,No
O00232,2025-08-21,Monitor,East,4,80.85,0.05,307.23,107.49,No
O00233,2025-08-22,Support,East,6,1199.73,0.1,6478.54,788.57,No
O00234,2025-08-23,Support,South,1,758.37,0.05,720.45,113.14,No
O00235,2025-08-24,Tablet,South,1,803.23,0.1,722.91,198.84,No
O00236,2025-08-25,Laptop,South,2,414.24,0.0,828.48,110.85,No
O00237,2025-08-26,Phone,East,5,393.4,0.1,1770.3,452.58,No
O00238,2025-08-27,Laptop,West,1,135.33,0.15,115.03,31.9,No
O00239,2025-08-28,Software,North,1,81.38,0.2,65.1,16.62,No
O00240,2025-08-29,Support,South,5,1203.35,0.15,5114.24,1043.27,No
O00241,2025-08-30,Monitor,North,6,198.28,0.15,1011.23,283.52,No
O00242,2025-08-31,Phone,South,6,796.99,0.0,4781.94,1227.47,No
O00243,2025-09-01,Laptop,North,6,796.71,0.05,4541.25,761.82,Yes
O00244,2025-09-02,Support,South,6,201.14,0.15,1025.81,255.96,No
O00245,2025-09-03,Phone,South,5,215.96,0.2,863.84,278.88,No
O00246,2025-09-04,Laptop,South,4,826.55,0.1,2975.58,813.44,No
O00247,2025-09-05,Phone,South,6,98.95,0.2,474.96,108.53,No
O00248,2025-09-06,Phone,West,3,415.31,0.05,1183.63,229.58,No
O00249,2025-09-07,Monitor,West,1,1184.96,0.0,1184.96,165.6,No
O00250,2025-09-08,Support,North,6,814.32,0.0,4885.92,861.21,No
O00251,2025-09-09,Phone,South,2,783.76,0.1,1410.77,172.92,No
O00252,2025-09-10,Software,West,7,120.81,0.15,718.82,249.38,No
O00253,2025-09-11,Laptop,East,3,143.21,0.05,408.15,69.86,No
O00254,2025-09-12,Laptop,North,6,196.56,0.15,1002.46,308.18,No
O00255,2025-09-13,Laptop,East,1,155.15,0.15,131.88,20.94,No
O00256,2025-09-14,Support,North,5,88.04,0.05,418.19,77.46,No
O00257,2025-09-15,Monitor,North,4,1223.64,0.05,4649.83,1005.31,No
O00258,2025-09-16,Software,East,4,110.06,0.15,374.2,72.82,Yes
O00259,2025-09-17,Laptop,East,2,803.98,0.15,1366.77,414.98,Yes
