customerID,gender,SeniorCitizen,tenure,Contract,InternetService,TechSupport,MonthlyCharges,TotalCharges,Churn
C0172,Female,1,57,Month-to-month,Fiber optic,Yes,93.88,5248.62,No
C0173,Female,0,28,Two year,Fiber optic,Yes,78.06,2131.9,No
C0174,Male,0,50,Month-to-month,Fiber optic,No,63.7,3307.84,No
C0175,Female,0,47,Month-to-month,No,Yes,79.99,3695.58,No
C0176,Male,0,18,Month-to-month,No,No,63.21,1201.8,No
C0177,Female,0,20,Two year,DSL,Yes,90.58,1757.77,No
C0178,Female,0,5,Two year,DSL,Yes,29.71,173.34,No
C0179,Male,0,11,One year,Fiber optic,No,62.62,674.68,Yes
C0180,Female,0,32,Two year,DSL,No,26.2,925.71,Yes
C0181,Female,0,35,Two year,DSL,Yes,37.11,1245.37,No
C0182,Female,0,12,Month-to-month,Fiber optic,Yes,100.0,1042.75,Yes
C0183,Male,0,31,Month-to-month,Fiber optic,No,89.69,2642.2,Yes
C0184,Male,0,44,One year,Fiber optic,Yes,54.17,2330.29,Yes
C0185,Female,1,17,One year,No,No,36.94,503.07,Yes
C0186,Female,0,25,Month-to-month,Fiber optic,No,20.0,541.02,No
C0187,Female,0,27,Month-to-month,No,Yes,58.04,1520.5,Yes
C0188,Female,1,37,One year,Fiber optic,No,123.25,4797.71,No
C0189,Male,0,27,Month-to-month,DSL,No,79.57,1974.62,Yes
C0190,Female,0,54,Two year,Fiber optic,No,57.69,3135.62,No
C0191,Male,0,24,Month-to-month,Fiber optic,Yes,80.23,1812.72,Yes
C0192,Female,0,32,Month-to-month,Fiber optic,Yes,35.66,1091.78,Yes
C0193,Female,1,28,Two year,Fiber optic,Yes,63.46,1791.02,No
C0194,Female,0,14,Month-to-month,No,No,72.19,778.12,No
C0195,Female,0,50,Month-to-month,Fiber optic,No,68.11,3429.18,No
C0196,Male,0,17,One year,DSL,Yes,87.4,1676.09,Yes
C0197,Male,0,22,Two year,Fiber optic,Yes,77.58,1661.42,No
C0198,Male,0,58,Month-to-month,Fiber optic,No,84.7,4938.58,No
C0199,Female,0,69,Month-to-month,DSL,Yes,54.86,3887.83,Yes
C0200,Male,0,49,One year,Fiber optic,No,89.75,4381.35,No
C0201,Female,0,66,Two year,No,No,105.84,6927.34,No
C0202,Male,0,62,Month-to-month,DSL,Yes,48.66,2789.35,No
C0203,Male,0,35,Month-to-month,DSL,Yes,50.47,1830.55,No
C0204,Male,0,56,Month-to-month,Fiber optic,Yes,99.39,5554.52,No
C0205,Male,0,24,Month-to-month,Fiber optic,No,65.79,1477.69,Yes
C0206,Male,0,34,Month-to-month,No,Yes,100.88,3442.58,Yes
C0207,Male,0,39,One year,Fiber optic,Yes,60.26,2291.77,No
C0208,Female,0,70,Month-to-month,Fiber optic,Yes,102.01,7087.86,Yes
C0209,Female,0,62,Month-to-month,Fiber optic,Yes,72.89,4579.81,Yes
C0210,Female,0,36,One year,DSL,No,75.68,2590.64,No
C0211,Male,0,47,One year,DSL,Yes,104.42,5012.47,No
C0212,Female,0,15,Month-to-month,DSL,No,62.04,790.83,No
C0213,Female,0,58,Two year,DSL,No,49.3,2793.13,No
C0214,Female,0,40,One year,Fiber optic,No,60.13,2597.49,No
C0215,Male,0,39,One year,No,Yes,79.95,3230.79,No
C0216,Female,0,56,Month-to-month,Fiber optic,No,35.55,2000.56,No
C0217,Female,0,46,Month-to-month,DSL,No,84.02,3770.87,Yes
C0218,Male,0,6,Two year,Fiber optic,Yes,58.15,295.97,No
C0219,Male,0,21,Month-to-month,No,No,95.25,2007.58,No
