EmployeeID,Department,JobRole,OverTime,JobSatisfaction,YearsAtCompany,MonthlyIncome,WorkLifeBalance,Attrition
E0040,Research,Analyst,Yes,3,17,8304,4,No
E0041,Operations,Analyst,No,4,9,9310,4,No
E0042,Research,Support,No,2,18,7030,1,No
E0043,HR,Engineer,Yes,2,15,6945,3,Yes
E0044,Sales,Manager,No,2,15,6865,1,No
E0045,HR,Analyst,Yes,4,18,5816,3,Yes
E0046,Research,Engineer,No,1,3,5415,4,Yes
E0047,Sales,Advisor,No,2,15,6919,4,Yes
E0048,Sales,Support,Yes,1,20,8161,1,Yes
E0049,HR,Engineer,No,4,20,5344,2,No
E0050,Research,Advisor,No,2,12,6500,4,No
E0051,Sales,Support,No,1,15,5773,4,No
E0052,HR,Support,Yes,2,18,4369,2,Yes
E0053,Sales,Manager,No,1,17,4406,1,No
E0054,Sales,Support,No,2,18,2798,2,No
E0055,Sales,Engineer,No,4,17,5542,3,No
E0056,HR,Support,Yes,3,8,7614,2,No
E0057,IT,Analyst,No,4,15,7410,4,Yes
E0058,Research,Analyst,No,3,8,9691,4,No
E0059,Research,Support,No,4,16,2503,4,No
E0060,Research,Advisor,No,2,17,7980,1,No
E0061,Research,Analyst,Yes,4,19,8242,4,No
E0062,Operations,Support,Yes,1,12,5516,4,No
E0063,Research,Analyst,No,2,9,4350,2,No
E0064,Operations,Advisor,No,3,3,4913,3,Yes
E0065,IT,Manager,Yes,2,13,7387,4,Yes
E0066,IT,Analyst,No,2,11,8752,4,Yes
E0067,HR,Support,No,1,10,7084,3,Yes
E0068,Operations,Support,Yes,1,14,6107,1,Yes
E0069,IT,Analyst,Yes,3,17,7159,3,No
E0070,Operations,Analyst,No,4,3,2736,3,No
E0071,Research,Advisor,No,1,9,6821,1,Yes
E0072,Sales,Analyst,Yes,2,15,2520,4,No
E0073,Sales,Advisor,No,4,17,9489,1,No
E0074,IT,Support,No,4,16,8957,4,No
E0075,HR,Advisor,No,1,16,6063,3,Yes
E0076,Research,Manager,No,3,17,5043,2,No
E0077,Research,Analyst,No,1,20,7765,1,Yes
E0078,Research,Advisor,No,1,12,7045,1,No
E0079,IT,Analyst,Yes,1,5,7561,3,Yes
E0080,Operations,Engineer,No,3,11,6118,2,No
E0081,IT,Engineer,Yes,1,14,3995,4,No
E0082,Research,Advisor,No,2,2,2756,1,Yes
E0083,HR,Manager,Yes,1,15,4353,4,Yes
E0084,Sales,Advisor,No,2,11,6220,4,No
E0085,IT,Advisor,Yes,3,19,5422,1,Yes
E0086,HR,Manager,Yes,2,4,6048,3,No
E0087,HR,Manager,Yes,2,19,4310,4,No
E0088,HR,Analyst,No,3,9,9327,2,No
E0089,Research,Engineer,No,3,12,4987,1,No
E0090,IT,Manager,Yes,1,13,8630,4,Yes
E0091,HR,Analyst,No,4,12,5171,2,No
E0092,Operations,Engineer,No,4,18,5571,1,No
E0093,Sales,Engineer,No,3,3,6789,4,No
E0094,Research,Analyst,No,3,15,4199,3,No
E0095,IT,Analyst,No,3,20,3871,1,No
E0096,Sales,Analyst,Yes,2,4,5081,2,No
E0097,Sales,Advisor,No,2,5,8312,1,No
E0098,IT,Manager,Yes,2,9,3298,4,No
E0099,Research,Analyst,No,1,15,5525,1,No
E0100,Research,Analyst,No,4,20,7308,4,No
E0101,HR,Support,No,2,16,7567,3,No
E0102,Sales,Manager,No,2,16,5501,3,No
E0103,Sales,Advisor,No,4,9,2818,4,No
E0104,Sales,Engineer,No,3,13,2320,4,No
E0105,Sales,Analyst,Yes,3,4,5771,1,No
E0106,Sales,Manager,Yes,1,9,8356,1,Yes
E0107,Operations,Analyst,No,2,3,2414,1,Yes
E0108,Research,Advisor,No,3,0,8944,3,No
E0109,Sales,Manager,No,2,17,7336,3,No
E0110,Sales,Engineer,Yes,1,16,2261,1,Yes
E0111,HR,Analyst,No,4,10,4812,1,No
E0112,IT,Support,Yes,2,0,3875,3,Yes
E0113,Research,Manager,Yes,3,1,9414,3,No
E0114,Sales,Engineer,Yes,2,2,6416,2,Yes
E0115,Research,Support,No,3,15,4663,4,No
E0116,HR,Advisor,No,4,4,4313,4,No
E0117,Sales,Advisor,No,4,5,6484,4,No
E0118,IT,Support,No,1,18,2238,2,Yes
E0119,Operations,Analyst,No,3,18,4156,4,No
E0120,Research,Support,No,4,16,3457,3,No
E0121,IT,Engineer,No,3,6,6912,3,No
E0122,Research,Engineer,No,1,12,7286,2,No
E0123,Sales,Manager,No,1,4,5749,4,No
E0124,IT,Advisor,Yes,1,18,3264,3,Yes
E0125,IT,Support,Yes,1,1,5016,1,Yes
E0126,Research,Advisor,No,4,15,8606,4,No
E0127,HR,Analyst,No,4,10,3748,1,No
E0128,Sales,Engineer,No,3,15,3441,3,No
E0129,Operations,Advisor,No,3,9,3047,3,No
E0130,Operations,Manager,Yes,4,3,8407,3,No
E0131,Operations,Advisor,No,2,15,3111,1,No
E0132,HR,Advisor,No,2,13,6620,2,No
E0133,Operations,Analyst,No,3,9,9792,4,No
E0134,HR,Engineer,Yes,2,7,7077,1,Yes
E0135,IT,Analyst,Yes,1,7,5333,3,No
E0136,Sales,Engineer,No,3,10,3771,4,Yes
E0137,HR,Manager,No,4,5,2214,4,No
E0138,HR,Support,No,1,5,3382,3,Yes
E0139,HR,Support,Yes,1,5,9442,2,No
E0140,Sales,Engineer,Yes,2,0,3291,3,No
E0141,Research,Engineer,No,4,19,2351,2,Yes
E0142,IT,Advisor,No,3,4,8402,3,No
E0143,Sales,Advisor,No,3,3,5381,3,No
E0144,Operations,Advisor,No,3,3,4913,3,No
E0145,Operations,Advisor,No,2,20,7652,1,Yes
E0146,HR,Support,No,3,10,6175,4,Yes
E0147,Sales,Support,No,1,6,9150,3,No
E0148,Sales,Analyst,No,1,8,5753,4,No
E0149,Research,Engineer,No,4,1,7617,3,No
E0150,Sales,Engineer,No,3,6,8879,4,No
E0151,Sales,Engineer,No,1,5,5723,4,No
E0152,Sales,Engineer,No,2,16,4360,4,No
E0153,Sales,Advisor,No,1,1,9605,3,Yes
E0154,IT,Engineer,No,3,8,3923,3,No
E0155,Operations,Manager,No,4,16,2498,1,No
E0156,Sales,Engineer,No,2,17,6593,2,No
E0157,Operations,Support,No,2,10,9700,2,No
E0158,Sales,Manager,No,1,4,2856,4,No
E0159,HR,Analyst,No,2,7,8655,3,No
E0160,Sales,Support,Yes,2,4,8511,2,Yes
E0161,Sales,Analyst,No,1,13,9259,1,Yes
E0162,Sales,Advisor,No,2,6,5403,3,Yes
E0163,HR,Support,Yes,4,13,4136,2,No
E0164,HR,Manager,No,4,13,6092,1,No
E0165,Research,Manager,No,2,19,3282,2,Yes
E0166,Operations,Manager,Yes,4,7,8605,4,Yes
E0167,Operations,Analyst,No,1,20,7241,1,Yes
E0168,Operations,Analyst,No,4,8,5873,2,No
E0169,HR,Analyst,No,2,14,6120,3,No
E0170,HR,Engineer,No,3,13,7612,1,No
E0171,HR,Engineer,No,1,17,6176,1,No
E0172,Research,Analyst,No,4,9,8582,4,No
E0173,HR,Support,No,2,16,9227,3,No
E0174,Sales,Advisor,Yes,4,7,9418,1,No
E0175,IT,Analyst,No,1,10,6912,1,Yes
E0176,Research,Support,No,3,10,7843,2,No
E0177,Operations,Analyst,No,1,14,4564,3,Yes
E0178,IT,Engineer,No,4,12,2489,3,No
E0179,HR,Engineer,No,2,1,5240,1,No
E0180,IT,Engineer,No,3,16,8825,3,No
E0181,HR,Support,Yes,4,15,3214,4,No
E0182,Sales,Support,No,3,2,6347,1,No
E0183,Sales,Manager,No,1,20,3661,1,No
E0184,Sales,Engineer,No,1,13,5462,4,No
E0185,IT,Support,No,1,1,3289,3,Yes
E0186,HR,Advisor,No,4,10,7784,4,No
E0187,Research,Support,No,4,17,8358,2,No
E0188,HR,Engineer,No,2,5,7963,2,No
E0189,Research,Manager,Yes,4,19,7557,1,No
E0190,IT,Engineer,No,1,8,3987,1,Yes
E0191,IT,Support,No,3,4,6230,2,No
E0192,Sales,Support,No,2,7,2996,1,No
E0193,Operations,Advisor,No,1,11,5045,4,No
E0194,Research,Advisor,Yes,2,14,6044,3,No
E0195,Sales,Engineer,No,2,19,7280,4,No
E0196,IT,Manager,No,2,4,2935,3,No
E0197,Sales,Engineer,No,1,20,8378,2,Yes
E0198,Research,Engineer,Yes,2,11,5687,3,Yes
E0199,Sales,Support,Yes,1,2,8897,1,Yes
E0200,HR,Engineer,No,4,19,6208,4,No
E0201,HR,Advisor,No,2,7,6357,3,No
E0202,Research,Analyst,Yes,1,13,7463,1,No
E0203,Sales,Advisor,Yes,3,14,8431,3,No
E0204,Sales,Engineer,No,4,0,3397,3,No
E0205,IT,Support,Yes,2,4,6085,1,Yes
E0206,IT,Engineer,No,4,14,2427,1,No
E0207,IT,Engineer,No,3,6,5806,4,Yes
E0208,HR,Analyst,Yes,3,0,8382,2,No
E0209,HR,Support,No,2,0,8777,3,No
E0210,Operations,Advisor,Yes,1,17,4354,1,No
E0211,Operations,Support,Yes,2,3,5136,3,No
E0212,HR,Analyst,No,4,2,6391,1,No
E0213,Research,Manager,No,4,11,5208,2,No
E0214,HR,Support,No,4,2,3553,3,Yes
E0215,Sales,Analyst,Yes,4,13,4517,2,No
E0216,Sales,Engineer,No,2,11,5270,3,No
E0217,Operations,Engineer,No,2,13,6142,1,Yes
E0218,IT,Support,No,4,10,9197,2,Yes
E0219,Sales,Support,No,3,16,6340,4,No
E0220,Sales,Support,Yes,2,13,5142,2,Yes
E0221,Sales,Manager,No,2,8,7219,1,No
E0222,Operations,Engineer,No,4,0,8075,4,No
E0223,Research,Advisor,No,1,5,5471,4,No
E0224,Research,Support,No,1,2,5918,3,No
E0225,Sales,Analyst,No,3,0,3855,4,No
E0226,IT,Support,Yes,1,5,8772,4,No
E0227,HR,Manager,No,1,4,8787,3,Yes
E0228,Operations,Analyst,No,4,1,3529,3,No
E0229,Operations,Advisor,No,2,6,4829,1,Yes
E0230,Sales,Advisor,No,3,10,4266,3,No
E0231,IT,Analyst,No,2,3,9214,2,Yes
E0232,HR,Analyst,No,1,5,2695,4,No
E0233,Operations,Support,No,1,0,3775,2,Yes
E0234,Research,Support,No,4,1,4593,4,No
E0235,IT,Analyst,Yes,1,3,6456,3,Yes
E0236,IT,Support,No,3,9,4092,3,No
E0237,HR,Support,No,2,13,6278,4,Yes
E0238,Sales,Support,No,2,16,7878,2,Yes
E0239,IT,Manager,No,4,13,8497,2,No
